game_id,total_all,total_commented,total_rated,total_rated_and_commented,avgweight,numweights,poll_avg,poll_votes
206,472.0,119.0,404.0,66.0,1.381,21.0,1.380952380952381,21.0
207,260.0,73.0,186.0,52.0,1.1667,18.0,1.1666666666666667,18.0
208,92.0,23.0,70.0,15.0,1.1667,6.0,1.1666666666666667,6.0
209,,,,,0.0,0.0,0.0,0.0
210,711.0,162.0,593.0,113.0,1.2903,31.0,1.2903225806451613,31.0
211,305.0,104.0,244.0,76.0,1.2353,17.0,1.2352941176470589,17.0
212,,,,,0.0,0.0,0.0,0.0
213,,,,,0.0,0.0,0.0,0.0
214,3340.0,779.0,2960.0,565.0,1.6422,218.0,1.6422018348623852,218.0
215,18390.0,3978.0,16485.0,2956.0,2.3421,985.0,2.342131979695432,985.0
216,1135.0,391.0,766.0,288.0,2.026,77.0,2.0259740259740258,77.0
217,3615.0,1003.0,3370.0,802.0,1.2932,249.0,1.2931726907630523,249.0
218,559.0,248.0,290.0,87.0,1.7941,34.0,1.7941176470588236,34.0
219,248.0,62.0,190.0,49.0,2.0909,11.0,2.090909090909091,11.0
220,16859.0,3575.0,15673.0,2860.0,1.4783,715.0,1.4783216783216784,715.0
221,6463.0,1939.0,5340.0,1404.0,2.9509,530.0,2.950943396226415,530.0
222,1870.0,457.0,1565.0,360.0,1.3833,120.0,1.3833333333333333,120.0
223,2166.0,534.0,1806.0,412.0,1.9773,132.0,1.9772727272727275,132.0
224,5453.0,1667.0,4624.0,1349.0,2.766,500.0,2.766,500.0
225,999.0,295.0,607.0,181.0,2.5957,47.0,2.595744680851064,47.0
